fips_code,run_start_time_day,any_out,num_out_per_day,minutes_out,customers_out,customers_out_mean,cust_minute_area,customers_total,pct_out_max,pct_out_area
06073,2021-04-07,1,1,1440,1608,485.09375,698535,1362929,0.001179812007815521,0.00035592004425762455
06073,2021-04-08,1,1,1440,5230,558.1041666666666,803670,1362929,0.0038373238811412773,0.0004094888043813483
06073,2021-04-09,1,1,1440,1174,311.46875,448515,1362929,0.0008613801599349636,0.00022852896225702146
06073,2021-04-10,1,1,1440,4021,577.0520833333334,830955,1362929,0.0029502637334740105,0.000423391154882854
06073,2021-04-11,1,4,990,1708,708.2153846153847,690510,1362929,0.0012531834013363866,0.00035183111763953466
06073,2021-04-12,1,2,1170,3685,485.8076923076923,568395,1362929,0.002703735851243902,0.0002896106473631422
06073,2021-04-13,1,1,1440,2464,462.6354166666667,666195,1362929,0.0018078711363541315,0.0003394420521293968
06073,2021-04-14,1,1,1440,495,103.97916666666667,149730,1362929,0.00036318839792828534,7.629096355471684e-05
06073,2021-04-15,1,4,1020,2787,837.8358208955224,842025,1362929,0.0020448607374265277,0.0004290315807597706
06073,2021-04-16,1,1,1440,3761,412.96875,594675,1362929,0.00275949811031976,0.00030300092668070016
06073,2021-04-17,1,1,1440,2247,329.5208333333333,474510,1362929,0.0016486552124138527,0.00024177402735823608
06073,2021-04-18,1,2,1275,433,106.91764705882353,136320,1362929,0.00031769813394534857,6.945825253308622e-05
06073,2021-04-19,1,2,1395,3143,413.39784946236557,576690,1362929,0.0023060628983608096,0.0002938371453440837
06073,2021-04-20,1,1,1440,3838,923.8645833333334,1330365,1362929,0.0028159940833308267,0.0006778523190374065
06073,2021-04-21,1,1,1425,3838,426.6421052631579,607965,1362929,0.0028159940833308267,0.0003097724948743967
06073,2021-04-22,1,1,1440,2421,909.09375,1309095,1362929,0.0017763214371401591,0.0006670147527860952
06073,2021-04-23,1,3,1095,1618,796.3561643835617,872010,1362929,0.0011871491471676075,0.0004443096448897925
06073,2021-04-24,1,2,1380,559,235.75,325335,1362929,0.0004101460897816394,0.00016576584938271424
06073,2021-04-25,1,1,1425,4706,621.1789473684211,885180,1362929,0.003452857779091941,0.000451020070255555
06073,2021-04-26,1,1,1440,812,196.85416666666666,283470,1362929,0.0005957757153894297,0.00014443464528722088
06073,2021-04-27,1,1,1440,1313,211.98958333333334,305265,1362929,0.0009633663969289669,0.00015553971141074358
06073,2021-04-28,1,2,1290,1650,237.2674418604651,306075,1362929,0.0012106279930942845,0.00015595242549929845
06073,2021-04-29,1,3,1320,1618,256.45454545454544,338520,1362929,0.0011871491471676075,0.0001724839176019685
06073,2021-04-30,1,2,1260,3976,819.5952380952381,1032690,1362929,0.0029172466063896213,0.0005261798914934919
06073,2021-05-01,1,2,1395,3442,210.40860215053763,293520,1362929,0.002525443364988198,0.00014955535712669798
06073,2021-05-02,1,1,1440,1325,315.8541666666667,454830,1362929,0.0009721709641514709,0.0002317466035770511
06073,2021-05-03,1,2,1335,2649,298.8988764044944,399030,1362929,0.001943608214367733,0.00020331518858771562
06073,2021-05-04,1,2,1395,3348,411.0860215053763,573465,1362929,0.0024564742550785843,0.000292193931843356
06073,2021-05-05,1,4,1155,1217,461.8181818181818,533400,1362929,0.0008929298591489359,0.00027177987016687344
06073,2021-05-06,1,3,1260,3902,757.144578313253,942645,1362929,0.0028629517751841806,0.0004802998419824755
06073,2021-05-07,1,1,1440,1263,340.84375,490815,1362929,0.0009266807001685341,0.00025008180910377577
06073,2021-05-08,1,1,1440,2065,587.0520833333334,845355,1362929,0.0015151192762058773,0.00043072829423494057
06073,2021-05-09,1,2,1095,4549,425.86301369863014,466320,1362929,0.003337664691264182,0.00023760102935173682
06073,2021-05-10,1,2,1350,2910,294.22222222222223,397200,1362929,0.0021351075514571926,0.0002023827604617213
